market,date,com.l,idx.l,ncm.l,nrp.l,tot.l,com.s,idx.s,ncm.s,nrp.s,tot.s,com.n,idx.n,ncm.n,nrp.n,tot.n,delta_com.l,delta_idx.l,delta_ncm.l,delta_nrp.l,delta_tot.l,delta_com.s,delta_idx.s,delta_ncm.s,delta_nrp.s,delta_tot.s,delta_com.n,delta_idx.n,delta_ncm.n,delta_nrp.n,delta_tot.n,share_com.l,share_idx.l,share_ncm.l,share_nrp.l,share_tot.l,share_com.s,share_idx.s,share_ncm.s,share_nrp.s,share_tot.s,traders_com.l,traders_idx.l,traders_ncm.l,traders_nrp.l,traders_tot.l,traders_com.s,traders_idx.s,traders_ncm.s,traders_nrp.s,traders_tot.s,open_int,delta_open_int
Coffee C - Ice Futures U.s.,2018-12-24T00:00:00Z,133618,65103,25081,17551,305357,116942,26966,88989,8457,314452,16676,38137,-63908,9094,-9095,2885,-862,-953,1539,2883,-903,92,2055,1366,3056,3788,-954,-3008,173,-173,41.4,20.2,7.8,5.4,94.6,36.2,8.4,27.6,2.6,97.4,139,45,118,NA,372,111,25,128,NA,331,322908,4422
Coffee C - Ice Futures U.s.,2018-12-31T00:00:00Z,134863,65323,24660,17623,308054,117587,26930,89803,8149,317527,17276,38393,-65143,9474,-9473,1246,220,-421,71,2696,645,-35,814,-308,3075,601,255,-1235,379,-379,41.4,20.1,7.6,5.4,94.6,36.1,8.3,27.6,2.5,97.5,140,44,123,NA,375,113,27,126,NA,339,325676,2768
Coffee C - Ice Futures U.s.,2019-01-08T00:00:00Z,135341,63623,27919,18927,314568,120918,25548,90354,8990,324506,14423,38075,-62435,9937,-9938,478,-1700,3259,1305,6514,3331,-1382,551,841,6978,-2853,-318,2708,464,-464,40.6,19.1,8.4,5.7,94.3,36.3,7.7,27.1,2.7,97.3,141,44,142,NA,397,116,24,116,NA,335,333495,7819
Coffee C - Ice Futures U.s.,2019-01-15T00:00:00Z,137173,67072,29034,20364,321039,119754,27416,96861,9612,331791,17419,39656,-67827,10752,-10752,1832,3449,1116,1437,6471,-1164,1867,6508,622,7285,2996,1582,-5392,815,-814,40.2,19.6,8.5,6,94,35.1,8,28.4,2.8,97.2,141,45,140,NA,398,115,26,132,NA,353,341403,7907
Coffee C - Ice Futures U.s.,2019-01-22T00:00:00Z,133023,69186,32562,19601,330186,122071,28250,94212,9839,339948,10952,40936,-61650,9762,-9762,-4150,2114,3528,-763,9147,2318,834,-2650,227,8157,-6468,1280,6178,-990,990,38,19.8,9.3,5.6,94.4,34.9,8.1,26.9,2.8,97.2,139,46,143,NA,401,115,27,132,NA,353,349787,8384
Coffee C - Ice Futures U.s.,2019-01-29T00:00:00Z,138047,72722,34011,20855,348719,126781,31686,96120,11048,358525,11266,41036,-62109,9807,-9806,5024,3536,1449,1254,18533,4709,3436,1908,1210,18577,315,100,-459,44,-44,37.4,19.7,9.2,5.6,94.4,34.3,8.6,26,3,97,138,47,155,NA,409,117,29,128,NA,359,369574,19787
Coffee C - Ice Futures U.s.,2019-02-05T00:00:00Z,134818,73055,32348,20832,344290,130295,31101,87583,12075,353048,4523,41954,-55235,8757,-8758,-3229,333,-1663,-22,-4429,3515,-585,-8537,1026,-5478,-6744,918,6874,-1048,1049,36.9,20,8.9,5.7,94.3,35.7,8.5,24,3.3,96.7,130,46,136,NA,385,117,29,128,NA,352,365123,-4451
Coffee C - Ice Futures U.s.,2019-02-12T00:00:00Z,141161,66000,31073,21557,320955,133190,22470,92858,11272,331240,7971,43530,-61785,10285,-10285,6343,-7055,-1276,725,-23335,2895,-8631,5275,-803,-21808,3448,1576,-6551,1528,-1527,41.2,19.3,9.1,6.3,93.7,38.9,6.6,27.1,3.3,96.7,135,46,137,NA,390,115,30,136,NA,358,342512,-22611
Coffee C - Ice Futures U.s.,2019-02-19T00:00:00Z,129624,65296,33268,20528,313592,111722,25490,102239,9267,324854,17902,39806,-68971,11261,-11262,-11536,-704,2195,-1029,-7363,-21468,3019,9381,-2006,-6386,9932,-3723,-7186,977,-977,38.8,19.5,10,6.1,93.9,33.4,7.6,30.6,2.8,97.2,140,46,145,NA,403,113,28,147,NA,360,334120,-8392
Coffee C - Ice Futures U.s.,2019-02-26T00:00:00Z,145220,67331,37895,24361,346370,120512,30528,112343,11425,359306,24708,36803,-74448,12936,-12936,15596,2035,4627,3833,32777,8790,5038,10105,2158,34452,6806,-3003,-5478,1675,-1675,39.2,18.2,10.2,6.6,93.4,32.5,8.2,30.3,3.1,96.9,137,45,163,NA,412,108,27,153,NA,366,370731,36610
