market,date,com.l,idx.l,ncm.l,nrp.l,tot.l,com.s,idx.s,ncm.s,nrp.s,tot.s,com.n,idx.n,ncm.n,nrp.n,tot.n,delta_com.l,delta_idx.l,delta_ncm.l,delta_nrp.l,delta_tot.l,delta_com.s,delta_idx.s,delta_ncm.s,delta_nrp.s,delta_tot.s,delta_com.n,delta_idx.n,delta_ncm.n,delta_nrp.n,delta_tot.n,share_com.l,share_idx.l,share_ncm.l,share_nrp.l,share_tot.l,share_com.s,share_idx.s,share_ncm.s,share_nrp.s,share_tot.s,traders_com.l,traders_idx.l,traders_ncm.l,traders_nrp.l,traders_tot.l,traders_com.s,traders_idx.s,traders_ncm.s,traders_nrp.s,traders_tot.s,open_int,delta_open_int
Coffee C - Ice Futures U.s.,2019-09-24T00:00:00Z,119283,63461,31217,22709,291475,128750,21935,74065,11920,302264,-9467,41526,-42848,10789,-10789,2082,-1012,783,1708,8397,1284,-284,1575,986,9119,798,-728,-792,722,-722,38,20.2,9.9,7.2,92.8,41,7,23.6,3.8,96.2,120,43,140,NA,373,102,22,111,NA,309,314184,10105
Coffee C - Ice Futures U.s.,2019-10-01T00:00:00Z,118706,63013,31386,21567,293309,129254,21531,71921,11966,302910,-10548,41482,-40535,9601,-9601,-577,-448,169,-1142,1834,504,-404,-2144,46,646,-1081,-44,2313,-1188,1188,37.7,20,10,6.8,93.2,41,6.8,22.8,3.8,96.2,122,43,135,NA,375,104,23,112,NA,311,314876,692
Coffee C - Ice Futures U.s.,2019-10-08T00:00:00Z,125443,68954,26335,24442,303543,129201,27491,74122,14360,313625,-3758,41463,-47787,10082,-10082,6737,5941,-5051,2875,10234,-53,5960,2201,2394,10715,6790,-19,-7252,481,-481,38.2,21,8,7.5,92.5,39.4,8.4,22.6,4.4,95.6,123,46,150,NA,386,105,25,123,NA,341,327985,13110
Coffee C - Ice Futures U.s.,2019-10-15T00:00:00Z,141445,72492,27753,27972,332413,135938,31187,86177,16358,344027,5507,41305,-58424,11614,-11614,16002,3538,1418,3530,28870,6738,3696,12056,1998,30402,9264,-158,-10638,1532,-1532,39.2,20.1,7.7,7.8,92.2,37.7,8.7,23.9,4.5,95.5,121,47,133,NA,381,103,27,136,NA,339,360385,32400
Coffee C - Ice Futures U.s.,2019-10-22T00:00:00Z,145361,74903,31038,23006,348640,143342,31573,86412,12982,358664,2019,43330,-55374,10024,-10024,3916,2411,3286,-4965,16226,7403,386,235,-3377,14638,-3487,2025,3051,-1588,1588,39.1,20.2,8.4,6.2,93.8,38.6,8.5,23.3,3.5,96.5,120,48,141,NA,387,108,28,133,NA,346,371646,11261
Coffee C - Ice Futures U.s.,2019-10-29T00:00:00Z,142314,75102,31585,26331,342299,145108,31457,82362,16404,352226,-2794,43645,-50777,9927,-9927,-3047,199,546,3325,-6341,1766,-116,-4050,3423,-6439,-4813,315,4596,-98,98,38.6,20.4,8.6,7.1,92.9,39.4,8.5,22.3,4.5,95.5,120,46,139,NA,386,107,26,128,NA,342,368630,-3016
Coffee C - Ice Futures U.s.,2019-11-05T00:00:00Z,146742,77565,31343,21978,354099,162855,27975,71224,15575,360503,-16113,49590,-39881,6403,-6404,4428,2464,-242,-4353,11801,17747,-3482,-11138,-829,8277,-13319,5946,10896,-3524,3524,39,20.6,8.3,5.8,94.2,43.3,7.4,18.9,4.1,95.9,118,44,133,NA,377,110,27,124,NA,343,376077,7448
Coffee C - Ice Futures U.s.,2019-11-12T00:00:00Z,131564,71714,32349,21151,314233,168945,21863,49049,16921,318462,-37381,49851,-16700,4230,-4229,-15178,-5851,1006,-827,-39867,6091,-6112,-22175,1347,-42041,-21269,261,23181,-2174,2174,39.2,21.4,9.6,6.3,93.7,50.4,6.5,14.6,5,95,117,44,121,NA,360,108,27,118,NA,326,335383,-40694
Coffee C - Ice Futures U.s.,2019-11-19T00:00:00Z,113326,70916,29723,18842,294034,152114,17572,48561,14560,298317,-38788,53344,-18838,4282,-4283,-18238,-799,-2627,-2308,-20199,-16831,-4291,-488,-2362,-20145,-1407,3492,-2139,54,-54,36.2,22.7,9.5,6,94,48.6,5.6,15.5,4.7,95.3,118,44,114,NA,344,106,27,108,NA,319,312876,-22507
Coffee C - Ice Futures U.s.,2019-11-26T00:00:00Z,115299,76075,28225,11733,320265,168615,18487,35817,8413,323586,-53316,57588,-7592,3320,-3321,1973,5159,-1498,-7109,26231,16501,915,-12744,-6147,25269,-14528,4244,11246,-962,962,34.7,22.9,8.5,3.5,96.5,50.8,5.6,10.8,2.5,97.5,117,46,123,NA,357,110,28,97,NA,321,331999,19122
Coffee C - Ice Futures U.s.,2019-12-03T00:00:00Z,120652,78205,33168,12292,335255,184354,15914,34124,9925,337623,-63702,62291,-956,2367,-2368,5353,2130,4943,559,14990,15739,-2573,-1694,1512,14037,-10386,4703,6637,-953,953,34.7,22.5,9.5,3.5,96.5,53,4.6,9.8,2.9,97.1,113,47,131,NA,372,109,27,97,NA,324,347548,15549
Coffee C - Ice Futures U.s.,2019-12-10T00:00:00Z,119475,77305,39931,11712,352758,197673,15096,25439,10216,354254,-78198,62209,14492,1496,-1496,-1177,-900,6764,-580,17503,13319,-819,-8685,292,16631,-14496,-81,15449,-872,872,32.8,21.2,11,3.2,96.8,54.2,4.1,7,2.8,97.2,115,47,145,NA,382,118,26,96,NA,339,364471,16923
Coffee C - Ice Futures U.s.,2019-12-17T00:00:00Z,113619,75935,41067,11391,342442,198235,13683,21018,9076,344756,-84616,62252,20049,2315,-2314,-5856,-1370,1136,-321,-10317,562,-1413,-4421,-1140,-9498,-6418,43,5557,819,-819,32.1,21.5,11.6,3.2,96.8,56,3.9,5.9,2.6,97.4,119,50,138,NA,389,114,28,92,NA,321,353833,-10638
Coffee C - Ice Futures U.s.,2019-12-24T00:00:00Z,112546,77190,41334,11499,343902,201084,12836,19791,8857,346543,-88538,64354,21543,2642,-2641,-1073,1255,267,107,1460,2849,-846,-1227,-219,1787,-3922,2101,1494,326,-327,31.7,21.7,11.6,3.2,96.8,56.6,3.6,5.6,2.5,97.5,119,51,117,NA,372,119,27,99,NA,326,355400,1568
Coffee C - Ice Futures U.s.,2019-12-31T00:00:00Z,114530,77049,41260,11267,346971,203083,12776,19632,8617,349622,-88553,64273,21628,2650,-2651,1984,-140,-74,-231,3069,1999,-60,-159,-241,3079,-15,-80,85,10,-10,32,21.5,11.5,3.1,96.9,56.7,3.6,5.5,2.4,97.6,118,51,124,NA,377,120,26,100,NA,333,358238,2838
Coffee C - Ice Futures U.s.,2020-01-07T00:00:00Z,112452,77352,40583,12986,351190,201466,13345,19676,8885,355290,-89014,64007,20907,4101,-4100,-2078,303,-677,1718,4218,-1617,569,45,269,5668,-461,-266,-722,1449,-1450,30.9,21.2,11.1,3.6,96.4,55.3,3.7,5.4,2.4,97.6,119,48,124,NA,385,119,24,110,NA,336,364175,5937
Coffee C - Ice Futures U.s.,2020-01-14T00:00:00Z,113509,81496,37617,13533,348232,198165,19623,20909,7458,354307,-84656,61873,16708,6075,-6075,1057,4144,-2966,547,-2957,-3300,6278,1233,-1428,-983,4357,-2134,-4199,1975,-1974,31.4,22.5,10.4,3.7,96.3,54.8,5.4,5.8,2.1,97.9,122,49,128,NA,377,117,24,94,NA,324,361765,-2410
Coffee C - Ice Futures U.s.,2020-01-21T00:00:00Z,114517,81112,34777,13489,341286,193611,21916,21068,7300,347475,-79094,59196,13709,6189,-6189,1009,-384,-2840,-44,-6946,-4554,2293,159,-158,-6833,5563,-2677,-2999,114,-113,32.3,22.9,9.8,3.8,96.2,54.6,6.2,5.9,2.1,97.9,125,51,131,NA,380,121,26,87,NA,328,354775,-6990
Coffee C - Ice Futures U.s.,2020-01-28T00:00:00Z,126932,79611,33214,12703,358727,195824,23214,26685,6738,364692,-68892,56397,6529,5965,-5965,12415,-1501,-1563,-786,17441,2213,1298,5616,-563,17218,10202,-2799,-7179,-223,223,34.2,21.4,8.9,3.4,96.6,52.7,6.2,7.2,1.8,98.2,125,51,131,NA,385,118,25,96,NA,331,371430,16655
Coffee C - Ice Futures U.s.,2020-02-04T00:00:00Z,142368,81615,32209,14455,392632,195508,31965,34306,8867,398220,-53140,49650,-2097,5588,-5588,15436,2004,-1006,1752,33905,-316,8751,7621,2130,33527,15752,-6747,-8627,-378,378,35,20,7.9,3.6,96.4,48,7.9,8.4,2.2,97.8,128,49,131,NA,382,118,24,102,NA,339,407087,35657
Coffee C - Ice Futures U.s.,2020-02-11T00:00:00Z,152780,76839,31393,15617,380823,190928,31914,46025,7763,388677,-38148,44925,-14632,7854,-7854,10412,-4776,-815,1162,-11809,-4580,-51,11719,-1105,-9542,14992,-4725,-12534,2267,-2267,38.5,19.4,7.9,3.9,96.1,48.2,8.1,11.6,2,98,123,50,137,NA,374,119,24,95,NA,335,396440,-10647
Coffee C - Ice Futures U.s.,2020-02-18T00:00:00Z,139976,74294,30468,12552,343207,176360,27710,46991,6229,349530,-36384,46584,-16523,6323,-6323,-12804,-2545,-925,-3065,-37615,-14567,-4205,966,-1534,-39147,1763,1660,-1891,-1531,1532,39.3,20.9,8.6,3.5,96.5,49.6,7.8,13.2,1.8,98.2,123,50,131,NA,371,119,24,94,NA,325,355760,-40680
Coffee C - Ice Futures U.s.,2020-02-25T00:00:00Z,134631,74695,28710,12686,346339,171969,26950,44939,6865,352160,-37338,47745,-16229,5821,-5821,-5346,402,-1758,134,3131,-4391,-759,-2053,635,2630,-955,1161,295,-501,501,37.5,20.8,8,3.5,96.5,47.9,7.5,12.5,1.9,98.1,119,49,131,NA,371,117,24,96,NA,330,359025,3265
Coffee C - Ice Futures U.s.,2020-03-03T00:00:00Z,132461,73105,30411,12718,351055,184028,22244,33640,8784,354989,-51567,50861,-3229,3934,-3934,-2170,-1590,1701,31,4716,12059,-4707,-11299,1919,2829,-14229,3117,13000,-1888,1887,36.4,20.1,8.4,3.5,96.5,50.6,6.1,9.2,2.4,97.6,114,48,128,NA,373,114,24,99,NA,321,363773,4748
Coffee C - Ice Futures U.s.,2020-03-10T00:00:00Z,130248,70539,25400,11667,339771,183351,19544,26855,8103,343334,-53103,50995,-1455,3564,-3563,-2213,-2566,-5011,-1051,-11284,-677,-2699,-6784,-681,-11655,-1536,133,1773,-370,371,37.1,20.1,7.2,3.3,96.7,52.2,5.6,7.6,2.3,97.7,113,47,107,NA,345,112,26,91,NA,310,351438,-12335
Coffee C - Ice Futures U.s.,2020-03-17T00:00:00Z,131668,65944,20581,10567,325139,177116,19371,24401,7871,327835,-45448,46573,-3820,2696,-2696,1420,-4596,-4819,-1100,-14632,-6235,-173,-2454,-232,-15500,7655,-4423,-2365,-868,868,39.2,19.6,6.1,3.1,96.9,52.8,5.8,7.3,2.3,97.7,111,45,103,NA,318,110,25,74,NA,285,335706,-15732
Coffee C - Ice Futures U.s.,2020-03-24T00:00:00Z,136236,63998,20469,8989,325649,187720,17000,18527,6446,328192,-51484,46998,1942,2543,-2543,4568,-1946,-111,-1577,510,10603,-2371,-5875,-1425,357,-6035,425,5764,-152,153,40.7,19.1,6.1,2.7,97.3,56.1,5.1,5.5,1.9,98.1,114,44,101,NA,320,116,25,60,NA,282,334638,-1068
Coffee C - Ice Futures U.s.,2020-03-31T00:00:00Z,131400,62784,21161,8971,316274,189551,15401,12321,7043,318203,-58151,47383,8840,1928,-1929,-4836,-1214,692,-18,-9375,1832,-1599,-6206,597,-9989,-6668,385,6898,-615,614,40.4,19.3,6.5,2.8,97.2,58.3,4.7,3.8,2.2,97.8,112,45,103,NA,322,116,26,65,NA,281,325245,-9393
Coffee C - Ice Futures U.s.,2020-04-07T00:00:00Z,132892,63067,19769,9426,318218,191662,15337,11068,7087,320556,-58770,47730,8701,2339,-2338,1492,283,-1393,455,1944,2110,-64,-1253,45,2354,-618,347,-140,410,-410,40.6,19.2,6,2.9,97.1,58.5,4.7,3.4,2.2,97.8,114,47,106,NA,325,118,25,57,NA,277,327644,2398
Coffee C - Ice Futures U.s.,2020-04-14T00:00:00Z,119720,62045,20223,10216,281544,179589,14458,10404,7753,284007,-59869,47587,9819,2463,-2463,-13172,-1023,455,790,-36674,-12073,-879,-664,666,-36550,-1099,-144,1119,124,-124,41,21.3,6.9,3.5,96.5,61.6,5,3.6,2.7,97.3,114,47,100,NA,318,115,26,56,NA,276,291760,-35884
Coffee C - Ice Futures U.s.,2020-04-21T00:00:00Z,110575,62488,22143,8818,274500,170208,14727,12064,7026,276292,-59633,47761,10079,1792,-1792,-9145,444,1920,-1398,-7044,-9381,268,1660,-728,-7715,236,176,260,-670,671,39,22.1,7.8,3.1,96.9,60.1,5.2,4.3,2.5,97.5,111,46,94,NA,305,115,24,62,NA,264,283318,-8442
Coffee C - Ice Futures U.s.,2020-04-28T00:00:00Z,114949,63420,22294,9178,283208,168254,18466,15896,7225,285162,-53305,44954,6398,1953,-1954,4374,931,151,360,8708,-1954,3739,3832,199,8870,6328,-2808,-3681,161,-162,39.3,21.7,7.6,3.1,96.9,57.5,6.3,5.4,2.5,97.5,113,46,92,NA,309,111,24,68,NA,268,292386,9069
Coffee C - Ice Futures U.s.,2020-05-05T00:00:00Z,120803,63248,24833,9958,295167,172050,18217,21195,7382,297744,-51247,45031,3638,2576,-2577,5855,-172,2539,780,11959,3796,-249,5298,157,12582,2059,77,-2759,623,-623,39.6,20.7,8.1,3.3,96.7,56.4,6,6.9,2.4,97.6,111,46,95,NA,314,110,24,69,NA,270,305125,12739
Coffee C - Ice Futures U.s.,2020-05-12T00:00:00Z,119294,61758,27086,10678,292475,170959,18534,21803,7521,295633,-51665,43224,5283,3157,-3158,-1509,-1490,2253,720,-2692,-1091,318,609,139,-2111,-418,-1808,1644,581,-581,39.4,20.4,8.9,3.5,96.5,56.4,6.1,7.2,2.5,97.5,111,47,104,NA,319,110,23,67,NA,273,303153,-1972
Coffee C - Ice Futures U.s.,2020-05-19T00:00:00Z,120348,61570,27324,11181,299392,171312,19106,22695,7309,303263,-50964,42464,4629,3872,-3871,1054,-188,237,502,6917,353,572,892,-211,7630,701,-760,-655,713,-713,38.8,19.8,8.8,3.6,96.4,55.2,6.2,7.3,2.4,97.6,115,47,102,NA,326,114,23,72,NA,281,310573,7419
Coffee C - Ice Futures U.s.,2020-05-26T00:00:00Z,126062,62643,26324,11987,305862,172826,19875,26277,8038,309811,-46764,42768,47,3949,-3949,5714,1073,-1000,807,6470,1514,769,3582,729,6548,4200,304,-4582,78,-78,39.7,19.7,8.3,3.8,96.2,54.4,6.3,8.3,2.5,97.5,120,47,113,NA,341,116,26,82,NA,303,317849,7276
Coffee C - Ice Futures U.s.,2020-06-02T00:00:00Z,137216,65235,28668,13724,333284,173734,22304,39831,8974,338034,-36518,42931,-11163,4750,-4750,11154,2592,2344,1736,27423,908,2428,13554,937,28223,10246,164,-11210,799,-800,39.5,18.8,8.3,4,96,50.1,6.4,11.5,2.6,97.4,121,46,114,NA,343,113,27,94,NA,319,347008,29159
Coffee C - Ice Futures U.s.,2020-06-09T00:00:00Z,142463,64076,29003,14701,331148,173816,21088,46492,8848,337001,-31353,42988,-17489,5853,-5853,5247,-1159,335,978,-2136,82,-1216,6661,-126,-1032,5165,57,-6326,1104,-1104,41.2,18.5,8.4,4.3,95.7,50.3,6.1,13.4,2.6,97.4,121,46,115,NA,353,113,28,107,NA,335,345849,-1159
Coffee C - Ice Futures U.s.,2020-06-16T00:00:00Z,132613,62690,30632,16299,306468,158232,19288,54785,9931,312836,-25619,43402,-24153,6368,-6368,-9850,-1386,1629,1598,-24680,-15585,-1800,8293,1083,-24165,5735,414,-6664,515,-515,41.1,19.4,9.5,5,95,49,6,17,3.1,96.9,124,47,117,NA,355,112,28,102,NA,329,322767,-23083
Coffee C - Ice Futures U.s.,2020-06-23T00:00:00Z,129946,63284,31702,14919,306489,152884,19167,59371,8430,312978,-22938,44117,-27669,6489,-6489,-2667,594,1070,-1380,21,-5348,-121,4586,-1501,142,2681,715,-3516,121,-121,40.4,19.7,9.9,4.6,95.4,47.6,6,18.5,2.6,97.4,127,46,122,NA,358,113,27,103,NA,321,321408,-1359
Coffee C - Ice Futures U.s.,2020-06-30T00:00:00Z,130278,62551,31882,14416,311473,156267,17417,57096,8347,317542,-25989,45134,-25214,6069,-6069,333,-733,179,-503,4984,3384,-1750,-2276,-83,4563,-3051,1017,2455,-420,421,40,19.2,9.8,4.4,95.6,48,5.3,17.5,2.6,97.4,128,46,138,NA,381,117,25,96,NA,329,325889,4481
Coffee C - Ice Futures U.s.,2020-07-07T00:00:00Z,128779,64386,31642,14561,309516,157951,17393,55485,8538,315539,-29172,46993,-23843,6023,-6023,-1499,1835,-240,145,-1957,1684,-24,-1610,191,-2003,-3183,1859,1370,-46,46,39.7,19.9,9.8,4.5,95.5,48.7,5.4,17.1,2.6,97.4,128,46,132,NA,376,118,27,97,NA,333,324076,-1812
Coffee C - Ice Futures U.s.,2020-07-14T00:00:00Z,127865,64221,31855,15565,307121,157250,17610,55577,9069,313618,-29385,46611,-23722,6496,-6497,-914,-164,213,1004,-2394,-701,217,92,531,-1921,-213,-381,121,473,-473,39.6,19.9,9.9,4.8,95.2,48.7,5.5,17.2,2.8,97.2,129,46,129,NA,371,113,27,101,NA,325,322686,-1390
Coffee C - Ice Futures U.s.,2020-07-21T00:00:00Z,129882,65228,32823,15363,314240,162094,18965,53116,9119,320484,-32212,46263,-20293,6244,-6244,2017,1006,969,-202,7119,4844,1355,-2461,51,6866,-2827,-349,3430,-253,253,39.4,19.8,10,4.7,95.3,49.2,5.8,16.1,2.8,97.2,125,46,125,NA,366,115,26,105,NA,322,329603,6916
Coffee C - Ice Futures U.s.,2020-07-28T00:00:00Z,120867,65163,32974,14241,316794,169187,15142,39386,9529,321506,-48320,50021,-6412,4712,-4712,-9015,-65,151,-1122,2554,7093,-3823,-13730,410,1023,-16108,3758,13881,-1532,1531,36.5,19.7,10,4.3,95.7,51.1,4.6,11.9,2.9,97.1,124,46,134,NA,378,119,23,84,NA,305,331035,1432
Coffee C - Ice Futures U.s.,2020-08-04T00:00:00Z,119410,69481,35421,14117,329228,186148,18627,22628,11027,332318,-66738,50854,12793,3090,-3090,-1456,4318,2447,-124,12434,16961,3485,-16758,1498,10812,-18417,833,19205,-1622,1622,34.8,20.2,10.3,4.1,95.9,54.2,5.4,6.6,3.2,96.8,120,48,136,NA,380,122,24,79,NA,310,343345,12310
Coffee C - Ice Futures U.s.,2020-08-11T00:00:00Z,116650,67506,34303,15741,320664,189057,12395,21293,11456,324949,-72407,55111,13010,4285,-4285,-2760,-1975,-1118,1624,-8565,2910,-6232,-1335,429,-7369,-5670,4257,217,1195,-1196,34.7,20.1,10.2,4.7,95.3,56.2,3.7,6.3,3.4,96.6,118,45,131,NA,366,122,22,75,NA,305,336405,-6940
Coffee C - Ice Futures U.s.,2020-08-18T00:00:00Z,107527,70263,35784,14682,302248,187293,11692,19258,10012,306917,-79766,58571,16526,4670,-4669,-9124,2757,1481,-1060,-18416,-1764,-703,-2035,-1443,-18032,-7360,3460,3516,383,-384,33.9,22.2,11.3,4.6,95.4,59.1,3.7,6.1,3.2,96.8,112,45,130,NA,347,122,22,65,NA,284,316930,-19476
Coffee C - Ice Futures U.s.,2020-08-25T00:00:00Z,104259,71198,39439,13913,306990,189740,12223,17221,9625,311279,-85481,58975,22218,4288,-4289,-3268,934,3655,-768,4742,2447,531,-2037,-388,4362,-5715,403,5692,-380,380,32.5,22.2,12.3,4.3,95.7,59.1,3.8,5.4,3,97,108,45,138,NA,356,118,21,70,NA,287,320904,3974
Coffee C - Ice Futures U.s.,2020-09-01T00:00:00Z,105141,74507,44406,13747,322538,201005,12700,15166,8930,327356,-95864,61807,29240,4817,-4818,882,3309,4967,-166,15548,11265,477,-2055,-695,16077,-10383,2832,7022,529,-529,31.3,22.2,13.2,4.1,95.9,59.8,3.8,4.5,2.7,97.3,110,47,157,NA,383,126,22,65,NA,305,336286,15382
Coffee C - Ice Futures U.s.,2020-09-08T00:00:00Z,102187,76276,45738,13502,324688,202516,12539,12646,10002,328188,-100329,63737,33092,3500,-3500,-2954,1769,1333,-245,2150,1510,-161,-2519,1073,832,-4464,1930,3852,-1318,1318,30.2,22.6,13.5,4,96,59.9,3.7,3.7,3,97,113,48,141,NA,370,127,21,70,NA,302,338190,1905
Coffee C - Ice Futures U.s.,2020-09-15T00:00:00Z,92821,77713,48424,13646,317590,197001,13669,12892,9042,322194,-104180,64044,35532,4604,-4604,-9366,1437,2685,144,-7098,-5515,1130,245,-960,-5994,-3851,307,2440,1104,-1104,28,23.5,14.6,4.1,95.9,59.5,4.1,3.9,2.7,97.3,113,47,138,NA,365,126,22,69,NA,303,331236,-6954
Coffee C - Ice Futures U.s.,2020-09-22T00:00:00Z,100622,75063,44755,14647,318617,199401,12624,12661,10401,322864,-98779,62439,32094,4246,-4247,7801,-2650,-3669,1001,1028,2400,-1045,-231,1359,670,5401,-1605,-3438,-358,358,30.2,22.5,13.4,4.4,95.6,59.8,3.8,3.8,3.1,96.9,116,48,137,NA,367,125,19,67,NA,299,333265,2029
Coffee C - Ice Futures U.s.,2020-09-29T00:00:00Z,106228,74287,41467,15340,321501,195875,15462,15822,10162,326679,-89647,58825,25645,5178,-5178,5607,-776,-3288,692,2884,-3526,2838,3161,-239,3815,9133,-3614,-6449,931,-931,31.5,22.1,12.3,4.6,95.4,58.2,4.6,4.7,3,97,117,48,141,NA,370,119,20,67,NA,303,336841,3576
Coffee C - Ice Futures U.s.,2020-10-06T00:00:00Z,111447,74725,40039,15644,323604,194505,17284,19741,10325,328923,-83058,57441,20298,5319,-5319,5219,438,-1427,305,2103,-1370,1822,3919,163,2244,6589,-1384,-5346,142,-141,32.9,22,11.8,4.6,95.4,57.3,5.1,5.8,3,97,116,48,133,NA,354,117,20,76,NA,292,339249,2408
Coffee C - Ice Futures U.s.,2020-10-13T00:00:00Z,112027,73074,40386,15213,312264,194141,17010,20083,9465,318011,-82114,56064,20303,5748,-5747,579,-1651,347,-432,-11341,-364,-274,342,-860,-10912,943,-1377,5,428,-429,34.2,22.3,12.3,4.6,95.4,59.3,5.2,6.1,2.9,97.1,119,48,134,NA,355,117,22,67,NA,286,327476,-11772
Coffee C - Ice Futures U.s.,2020-10-20T00:00:00Z,117594,70888,40224,16793,313700,192994,17147,24736,10623,319870,-75400,53741,15488,6170,-6170,5567,-2185,-162,1580,1437,-1147,137,4654,1158,1860,6714,-2322,-4816,422,-423,35.6,21.4,12.2,5.1,94.9,58.4,5.2,7.5,3.2,96.8,120,47,143,NA,366,113,23,69,NA,291,330493,3017
Coffee C - Ice Futures U.s.,2020-10-27T00:00:00Z,120536,72132,37642,17130,314059,190830,17970,27994,10646,320543,-70294,54162,9648,6484,-6484,2942,1244,-2583,337,359,-2164,823,3258,24,672,5106,421,-5841,313,-313,36.4,21.8,11.4,5.2,94.8,57.6,5.4,8.5,3.2,96.8,122,46,138,NA,368,116,24,78,NA,302,331189,696
Coffee C - Ice Futures U.s.,2020-11-03T00:00:00Z,127719,74702,34208,18018,324423,191482,20697,31606,10861,331579,-63763,54005,2602,7157,-7156,7183,2570,-3434,888,10364,652,2728,3612,215,11036,6531,-158,-7046,673,-672,37.3,21.8,10,5.3,94.7,55.9,6,9.2,3.2,96.8,122,45,134,NA,366,111,26,84,NA,301,342440,11251
Coffee C - Ice Futures U.s.,2020-11-10T00:00:00Z,129234,75329,34082,18138,320663,194109,18111,34386,10176,328624,-64875,57218,-304,7962,-7961,1515,628,-125,120,-3760,2627,-2586,2781,-685,-2955,-1112,3214,-2906,805,-805,38.1,22.2,10.1,5.4,94.6,57.3,5.3,10.1,3,97,122,44,129,NA,358,114,25,87,NA,300,338800,-3640
Coffee C - Ice Futures U.s.,2020-11-17T00:00:00Z,115410,74737,34223,14404,281848,190098,14955,26600,7121,289131,-74688,59782,7623,7283,-7283,-13824,-592,141,-3734,-38814,-4011,-3157,-7786,-3056,-39493,-9813,2565,7927,-678,679,39,25.2,11.6,4.9,95.1,64.2,5,9,2.4,97.6,119,45,144,NA,364,115,23,69,NA,282,296252,-42548
Coffee C - Ice Futures U.s.,2020-11-24T00:00:00Z,109600,73490,36188,14268,279635,192064,13632,20958,6892,287011,-82464,59858,15230,7376,-7376,-5809,-1247,1965,-135,-2213,1966,-1323,-5642,-228,-2121,-7775,76,7607,93,-92,37.3,25,12.3,4.9,95.1,65.3,4.6,7.1,2.3,97.7,118,44,142,NA,362,109,23,74,NA,286,293903,-2349
Coffee C - Ice Futures U.s.,2020-12-01T00:00:00Z,111453,76047,37858,14516,292137,196435,14801,21654,6983,299669,-84982,61246,16204,7533,-7532,1852,2557,1670,248,12502,4372,1169,695,91,12658,-2520,1388,975,157,-156,36.3,24.8,12.3,4.7,95.3,64.1,4.8,7.1,2.3,97.7,122,45,163,NA,383,115,24,71,NA,298,306652,12749
Coffee C - Ice Futures U.s.,2020-12-08T00:00:00Z,110179,73893,35799,14672,287884,193248,13621,20625,7050,295505,-83069,60272,15174,7622,-7621,-1273,-2154,-2059,156,-4253,-3188,-1180,-1029,67,-4164,1915,-974,-1030,89,-89,36.4,24.4,11.8,4.8,95.2,63.9,4.5,6.8,2.3,97.7,120,45,156,NA,373,117,23,67,NA,293,302555,-4097
Coffee C - Ice Futures U.s.,2020-12-15T00:00:00Z,106041,73259,38178,13883,288905,192625,12816,18709,7211,295577,-86584,60443,19469,6672,-6672,-4138,-634,2379,-789,1021,-622,-805,-1916,161,71,-3516,171,4295,-950,950,35,24.2,12.6,4.6,95.4,63.6,4.2,6.2,2.4,97.6,119,45,150,NA,377,119,23,71,NA,298,302788,232
Coffee C - Ice Futures U.s.,2020-12-21T00:00:00Z,105877,72452,39468,13467,291187,194236,12072,18185,6771,297883,-88359,60380,21283,6696,-6696,-164,-807,1290,-416,2282,1611,-743,-524,-440,2306,-1775,-64,1814,24,-24,34.8,23.8,13,4.4,95.6,63.8,4,6,2.2,97.8,117,44,154,NA,370,116,23,64,NA,298,304654,1866
Coffee C - Ice Futures U.s.,2020-12-29T00:00:00Z,103384,72505,42315,13485,294000,193275,12019,19193,7202,300283,-89891,60486,23122,6283,-6283,-2493,52,2847,19,2813,-961,-54,1009,431,2400,-1532,106,1838,-412,413,33.6,23.6,13.8,4.4,95.6,62.9,3.9,6.2,2.3,97.7,117,44,161,NA,381,117,22,69,NA,304,307485,2832
Coffee C - Ice Futures U.s.,2021-01-05T00:00:00Z,99590,75111,43320,14590,296321,191501,12415,21483,7211,303700,-91911,62696,21837,7379,-7379,-3794,2606,1004,1104,2321,-1774,397,2290,9,3417,-2020,2209,-1286,1095,-1096,32,24.2,13.9,4.7,95.3,61.6,4,6.9,2.3,97.7,118,45,171,NA,393,121,21,69,NA,310,310911,3426
Coffee C - Ice Futures U.s.,2021-01-12T00:00:00Z,97683,80919,40097,14406,291046,188598,12473,24083,7951,297501,-90915,68446,16014,6455,-6455,-1907,5808,-3222,-184,-5275,-2903,57,2600,741,-6199,996,5751,-5822,-925,924,32,26.5,13.1,4.7,95.3,61.7,4.1,7.9,2.6,97.4,116,45,162,NA,385,119,21,74,NA,306,305452,-5459
Coffee C - Ice Futures U.s.,2021-01-19T00:00:00Z,96314,84454,42922,14412,303912,197862,12616,19276,8348,309975,-101548,71838,23646,6064,-6063,-1369,3536,2824,6,12865,9264,143,-4807,396,12474,-10633,3393,7631,-390,391,30.3,26.5,13.5,4.5,95.5,62.2,4,6.1,2.6,97.4,116,45,164,NA,385,119,21,69,NA,300,318323,12871
