Year,Bank,Sector,Region,USDmillions
2018,Banco do Brasil,Beef,Latin America,5474.5808369999995
2020,Banco do Brasil,Beef,Latin America,4693.587109
2021,Banco do Brasil,Beef,Latin America,4288.389256
2014,Bradesco,Beef,Latin America,1835.946894
2015,Bradesco,Beef,Latin America,701.308739
2019,Bradesco,Beef,Latin America,1051.125881
2013,Bradesco,Beef,Latin America,1878.123106
2016,Bradesco,Beef,Latin America,1127.984012
2017,Bradesco,Beef,Latin America,1047.492317
2018,Bradesco,Beef,Latin America,1025.890414
2020,Bradesco,Beef,Latin America,787.551239
2021,Bradesco,Beef,Latin America,832.5728300000001
2014,Santander,Beef,Latin America,772.620827
2015,Santander,Beef,Latin America,298.624714
2019,Santander,Beef,Latin America,767.677586
2013,Santander,Beef,Latin America,799.458179
2016,Santander,Beef,Latin America,621.430299
2017,Santander,Beef,Latin America,752.148541
2018,Santander,Beef,Latin America,731.239809
2020,Santander,Beef,Latin America,495.66833
2021,Santander,Beef,Latin America,565.777511
2014,Itaú Unibanco,Beef,Latin America,809.363433
2015,Itaú Unibanco,Beef,Latin America,507.09571
2019,Itaú Unibanco,Beef,Latin America,564.72254
2013,Itaú Unibanco,Beef,Latin America,684.602614
2016,Itaú Unibanco,Beef,Latin America,844.593494
2017,Itaú Unibanco,Beef,Latin America,719.239044
2018,Itaú Unibanco,Beef,Latin America,443.368993
2020,Itaú Unibanco,Beef,Latin America,493.772294
2021,Itaú Unibanco,Beef,Latin America,672.613646
2014,Banco da Amazonia,Beef,Latin America,633.379657
2015,Banco da Amazonia,Beef,Latin America,383.973871
2019,Banco da Amazonia,Beef,Latin America,596.605097
2013,Banco da Amazonia,Beef,Latin America,445.266182
2016,Banco da Amazonia,Beef,Latin America,339.041146
2017,Banco da Amazonia,Beef,Latin America,388.005289
2018,Banco da Amazonia,Beef,Latin America,429.565925
2020,Banco da Amazonia,Beef,Latin America,549.149073
2021,Banco da Amazonia,Beef,Latin America,561.985627
2014,Banco do Nordeste do Brasil,Beef,Latin America,470.134042
2015,Banco do Nordeste do Brasil,Beef,Latin America,345.223806
2019,Banco do Nordeste do Brasil,Beef,Latin America,523.740821
2013,Banco do Nordeste do Brasil,Beef,Latin America,518.185233
2016,Banco do Nordeste do Brasil,Beef,Latin America,422.99434
2017,Banco do Nordeste do Brasil,Beef,Latin America,480.773891
2018,Banco do Nordeste do Brasil,Beef,Latin America,475.451437
2020,Banco do Nordeste do Brasil,Beef,Latin America,464.392332
2021,Banco do Nordeste do Brasil,Beef,Latin America,380.397533
2014,Caixa Econômica Federal,Beef,Latin America,469.799583
2015,Caixa Econômica Federal,Beef,Latin America,361.72003
2019,Caixa Econômica Federal,Beef,Latin America,237.519657
2013,Caixa Econômica Federal,Beef,Latin America,219.145893
2016,Caixa Econômica Federal,Beef,Latin America,318.320229
2017,Caixa Econômica Federal,Beef,Latin America,380.743068
2018,Caixa Econômica Federal,Beef,Latin America,319.659018
2020,Caixa Econômica Federal,Beef,Latin America,347.986987
2021,Caixa Econômica Federal,Beef,Latin America,443.301577
2014,Rabobank,Beef,Latin America,393.129172
2015,Rabobank,Beef,Latin America,270.88446899999997
2019,Rabobank,Beef,Latin America,222.374835
2013,Rabobank,Beef,Latin America,450.64905
2016,Rabobank,Beef,Latin America,359.554266
2017,Rabobank,Beef,Latin America,343.346369
2018,Rabobank,Beef,Latin America,297.737553
2020,Rabobank,Beef,Latin America,167.172232
2021,Rabobank,Beef,Latin America,306.157947
2014,HSBC,Beef,Latin America,503.883676
2015,HSBC,Beef,Latin America,240.113156
2019,HSBC,Beef,Latin America,64.618959
2013,HSBC,Beef,Latin America,703.137718
2016,HSBC,Beef,Latin America,517.587007
2017,HSBC,Beef,Latin America,211.386726
2018,HSBC,Beef,Latin America,149.576306
2020,HSBC,Beef,Latin America,0.006167000000000001
2021,HSBC,Beef,Latin America,160.029052
2014,BTG Pactual,Beef,Latin America,377.623692
2015,BTG Pactual,Beef,Latin America,0
2019,BTG Pactual,Beef,Latin America,219.315708
2013,BTG Pactual,Beef,Latin America,371.915527
2016,BTG Pactual,Beef,Latin America,0
2017,BTG Pactual,Beef,Latin America,59.926182999999995
2018,BTG Pactual,Beef,Latin America,364.985282
2020,BTG Pactual,Beef,Latin America,125.139071
2021,BTG Pactual,Beef,Latin America,428.857588
2019,Bank of China,Soy,Southeast Asia,0.666548
2020,Bank of China,Soy,Southeast Asia,0.028762
2018,Bank of China,Soy,Southeast Asia,0.768969
2014,Bank of China,Soy,Southeast Asia,0.626621
2015,Bank of China,Soy,Southeast Asia,0.28702
2013,Bank of China,Soy,Southeast Asia,0.05241
2017,Bank of China,Soy,Southeast Asia,0.083807
2016,Bank of China,Soy,Southeast Asia,0.589774
2021,Bank of China,Soy,Southeast Asia,8.2e-5
2019,Industrial and Commercial Bank of China,Soy,Southeast Asia,0.694215
2020,Industrial and Commercial Bank of China,Soy,Southeast Asia,0.004125
2018,Industrial and Commercial Bank of China,Soy,Southeast Asia,0.088992
2014,Industrial and Commercial Bank of China,Soy,Southeast Asia,0.530134
2015,Industrial and Commercial Bank of China,Soy,Southeast Asia,0.406997
2013,Industrial and Commercial Bank of China,Soy,Southeast Asia,0.199802
2017,Industrial and Commercial Bank of China,Soy,Southeast Asia,0.05534
2016,Industrial and Commercial Bank of China,Soy,Southeast Asia,0.818824
2021,Industrial and Commercial Bank of China,Soy,Southeast Asia,5.96e-4
2019,HSBC,Soy,Southeast Asia,0.735561
2020,HSBC,Soy,Southeast Asia,6.1e-5
2018,HSBC,Soy,Southeast Asia,0.666029
2014,HSBC,Soy,Southeast Asia,0.559768
2015,HSBC,Soy,Southeast Asia,0.159532
2013,HSBC,Soy,Southeast Asia,0.188196
2017,HSBC,Soy,Southeast Asia,0.065928
2016,HSBC,Soy,Southeast Asia,0.115144
2021,HSBC,Soy,Southeast Asia,0.141515
2019,Agricultural Bank of China,Soy,Southeast Asia,0.66595
2020,Agricultural Bank of China,Soy,Southeast Asia,0.028762
2018,Agricultural Bank of China,Soy,Southeast Asia,0.894683
2014,Agricultural Bank of China,Soy,Southeast Asia,0.213074
2015,Agricultural Bank of China,Soy,Southeast Asia,0.304823
2013,Agricultural Bank of China,Soy,Southeast Asia,0.006673999999999999
2017,Agricultural Bank of China,Soy,Southeast Asia,0.05792
2016,Agricultural Bank of China,Soy,Southeast Asia,0.41917
2021,Agricultural Bank of China,Soy,Southeast Asia,0
2019,DBS,Soy,Southeast Asia,0.680431
2020,DBS,Soy,Southeast Asia,0.00548
2018,DBS,Soy,Southeast Asia,0.837203
2014,DBS,Soy,Southeast Asia,0.448786
2015,DBS,Soy,Southeast Asia,0.028539000000000002
2013,DBS,Soy,Southeast Asia,0.06777899999999999
2017,DBS,Soy,Southeast Asia,0.077238
2016,DBS,Soy,Southeast Asia,0.156972
2021,DBS,Soy,Southeast Asia,0.012935
2019,China Construction Bank,Soy,Southeast Asia,0.227805
2020,China Construction Bank,Soy,Southeast Asia,0.004125
2018,China Construction Bank,Soy,Southeast Asia,0.032711
2014,China Construction Bank,Soy,Southeast Asia,0.737933
2015,China Construction Bank,Soy,Southeast Asia,0.379048
2013,China Construction Bank,Soy,Southeast Asia,0.15210500000000002
2017,China Construction Bank,Soy,Southeast Asia,0.065125
2016,China Construction Bank,Soy,Southeast Asia,0.6199359999999999
2021,China Construction Bank,Soy,Southeast Asia,0
2019,Mizuho Financial,Soy,Southeast Asia,0.57102
2020,Mizuho Financial,Soy,Southeast Asia,0
2018,Mizuho Financial,Soy,Southeast Asia,0.7433029999999999
2014,Mizuho Financial,Soy,Southeast Asia,0.110655
2015,Mizuho Financial,Soy,Southeast Asia,0.18065699999999998
2013,Mizuho Financial,Soy,Southeast Asia,0.12015100000000001
2017,Mizuho Financial,Soy,Southeast Asia,0.103137
2016,Mizuho Financial,Soy,Southeast Asia,0.195394
2021,Mizuho Financial,Soy,Southeast Asia,0.040143
2019,ANZ,Soy,Southeast Asia,0.595093
2020,ANZ,Soy,Southeast Asia,0.005541
2018,ANZ,Soy,Southeast Asia,0.84574800000000006
2014,ANZ,Soy,Southeast Asia,0.308293
2015,ANZ,Soy,Southeast Asia,0.065536
2013,ANZ,Soy,Southeast Asia,0.042415
2017,ANZ,Soy,Southeast Asia,0.026521
2016,ANZ,Soy,Southeast Asia,0.053238
2021,ANZ,Soy,Southeast Asia,0.0052239999999999995
2019,BNP Paribas,Soy,Southeast Asia,0.46485000000000004
2020,BNP Paribas,Soy,Southeast Asia,6.1e-5
2018,BNP Paribas,Soy,Southeast Asia,0.744482
2014,BNP Paribas,Soy,Southeast Asia,0.10832800000000001
2015,BNP Paribas,Soy,Southeast Asia,0.077918
2013,BNP Paribas,Soy,Southeast Asia,0.079202
2017,BNP Paribas,Soy,Southeast Asia,0.054015
2016,BNP Paribas,Soy,Southeast Asia,0.193097
2021,BNP Paribas,Soy,Southeast Asia,0.047984
2019,ABN Amro,Soy,Southeast Asia,0.719103
2020,ABN Amro,Soy,Southeast Asia,0
2018,ABN Amro,Soy,Southeast Asia,0.6871959999999999
2014,ABN Amro,Soy,Southeast Asia,0.037418
2015,ABN Amro,Soy,Southeast Asia,0.030568
2013,ABN Amro,Soy,Southeast Asia,0.01534
2017,ABN Amro,Soy,Southeast Asia,0.125929
2016,ABN Amro,Soy,Southeast Asia,0.097966
2021,ABN Amro,Soy,Southeast Asia,5.91e-4
2013,CITIC,Rubber,Southeast Asia,50.742155
2015,CITIC,Rubber,Southeast Asia,39.780612
2016,CITIC,Rubber,Southeast Asia,60.876431
2014,CITIC,Rubber,Southeast Asia,2.129205
2017,CITIC,Rubber,Southeast Asia,23.407964999999997
2018,CITIC,Rubber,Southeast Asia,202.472987
2019,CITIC,Rubber,Southeast Asia,124.033754
2020,CITIC,Rubber,Southeast Asia,311.77064
2021,CITIC,Rubber,Southeast Asia,213.920788
2013,Citigroup,Rubber,Southeast Asia,28.042105
2015,Citigroup,Rubber,Southeast Asia,11.446401999999999
2016,Citigroup,Rubber,Southeast Asia,2.068122
2014,Citigroup,Rubber,Southeast Asia,13.855151
2017,Citigroup,Rubber,Southeast Asia,2.3046439999999997
2018,Citigroup,Rubber,Southeast Asia,40.229798
